id,group,task,abc,type,seq,time,seq_num,is_post
d1,alt,bo,a,M,s1,38,1,FALSE
d1,alt,bo,b,M,s1,18,1,FALSE
d1,pat,co,a,M,s2,23,2,FALSE
d1,pat,co,b,U,s2,6,2,FALSE
d1,pat,co,c,M,s2,11,2,FALSE
d1,pat,gr,a,M,s1,33,3,TRUE
d1,pat,gr,b,U,s1,8,3,TRUE
d1,alt,st,a,M,s2,10,4,TRUE
d1,alt,st,b,M,s2,15,4,TRUE
d2,alt,bo,a,M,s1,71,1,FALSE
d2,alt,bo,b,M,s1,1,1,FALSE
d2,pat,co,a,M,s2,29,2,FALSE
d2,pat,co,b,U,s2,7,2,FALSE
d2,pat,co,c,M,s2,4,2,FALSE
d2,pat,gr,a,M,s1,26,3,TRUE
d2,pat,gr,b,U,s1,11,3,TRUE
d2,alt,st,a,M,s2,11,4,TRUE
d2,alt,st,b,M,s2,36,4,TRUE
d3,alt,bo,a,M,s1,50,1,FALSE
d3,alt,bo,b,M,s1,16,1,FALSE
d3,pat,co,a,M,s2,19,2,FALSE
d3,pat,co,b,U,s2,4,2,FALSE
d3,pat,co,c,M,s2,3,2,FALSE
d3,pat,gr,a,M,s1,16,3,TRUE
d3,pat,gr,b,U,s1,11,3,TRUE
d3,alt,st,a,M,s2,13,4,TRUE
d3,alt,st,b,M,s2,15,4,TRUE
d4,alt,bo,a,M,s1,29,1,FALSE
d4,alt,bo,b,M,s1,17,1,FALSE
d4,pat,co,a,M,s2,12,2,FALSE
d4,pat,co,b,U,s2,7,2,FALSE
d4,pat,co,c,M,s2,3,2,FALSE
d4,pat,gr,a,M,s1,11,3,TRUE
d4,pat,gr,b,U,s1,7,3,TRUE
d4,alt,st,a,M,s2,12,4,TRUE
d4,alt,st,b,M,s2,16,4,TRUE
d5,alt,bo,a,M,s1,28,1,FALSE
d5,alt,bo,b,M,s1,8,1,FALSE
d5,pat,co,a,M,s2,16,2,FALSE
d5,pat,co,b,U,s2,9,2,FALSE
d5,pat,co,c,M,s2,4,2,FALSE
d5,pat,gr,a,M,s1,12,3,TRUE
d5,pat,gr,b,U,s1,9,3,TRUE
d5,alt,st,a,M,s2,9,4,TRUE
d5,alt,st,b,M,s2,35,4,TRUE
d6,alt,bo,a,M,s1,61,1,FALSE
d6,alt,bo,b,M,s1,22,1,FALSE
d6,pat,co,a,M,s2,34,2,FALSE
d6,pat,co,b,U,s2,8,2,FALSE
d6,pat,co,c,M,s2,7,2,FALSE
d6,pat,gr,a,M,s1,44,3,TRUE
d6,pat,gr,b,U,s1,22,3,TRUE
d6,alt,st,a,M,s2,17,4,TRUE
d6,alt,st,b,M,s2,19,4,TRUE
c1,alt,co,a,M,s1,47,1,FALSE
c1,alt,co,b,U,s1,4,1,FALSE
c1,alt,co,c,M,s1,7,1,FALSE
c1,pat,bo,a,M,s2,30,2,FALSE
c1,pat,bo,b,M,s2,10,2,FALSE
c1,pat,st,a,M,s1,18,3,TRUE
c1,pat,st,b,M,s1,37,3,TRUE
c1,alt,gr,a,M,s2,18,4,TRUE
c1,alt,gr,b,U,s2,19,4,TRUE
c2,alt,co,a,M,s1,61,1,FALSE
c2,alt,co,b,U,s1,3,1,FALSE
c2,alt,co,c,M,s1,1,1,FALSE
c2,pat,bo,a,M,s2,62,2,FALSE
c2,pat,bo,b,M,s2,3,2,FALSE
c2,pat,st,a,M,s1,11,3,TRUE
c2,pat,st,b,M,s1,8,3,TRUE
c2,alt,gr,a,M,s2,21,4,TRUE
c2,alt,gr,b,U,s2,9,4,TRUE
c3,alt,co,a,M,s1,37,1,FALSE
c3,alt,co,b,U,s1,2,1,FALSE
c3,alt,co,c,M,s1,2,1,FALSE
c3,pat,bo,a,M,s2,61,2,FALSE
c3,pat,bo,b,M,s2,11,2,FALSE
c3,pat,st,a,M,s1,10,3,TRUE
c3,pat,st,b,M,s1,9,3,TRUE
c3,alt,gr,a,M,s2,19,4,TRUE
c3,alt,gr,b,U,s2,14,4,TRUE
c4,alt,co,a,M,s1,28,1,FALSE
c4,alt,co,b,U,s1,3,1,FALSE
c4,alt,co,c,M,s1,3,1,FALSE
c4,pat,bo,a,M,s2,33,2,FALSE
c4,pat,bo,b,M,s2,11,2,FALSE
c4,pat,st,a,M,s1,17,3,TRUE
c4,pat,st,b,M,s1,11,3,TRUE
c4,alt,gr,a,M,s2,19,4,TRUE
c4,alt,gr,b,U,s2,13,4,TRUE
c5,alt,co,a,M,s1,31,1,FALSE
c5,alt,co,b,U,s1,3,1,FALSE
c5,alt,co,c,M,s1,5,1,FALSE
c5,pat,bo,a,M,s2,23,2,FALSE
c5,pat,bo,b,M,s2,27,2,FALSE
c5,pat,st,a,M,s1,15,3,TRUE
c5,pat,st,b,M,s1,8,3,TRUE
c5,alt,gr,a,M,s2,38,4,TRUE
c5,alt,gr,b,U,s2,9,4,TRUE
c6,alt,co,a,M,s1,53,1,FALSE
c6,alt,co,b,U,s1,2,1,FALSE
c6,alt,co,c,M,s1,2,1,FALSE
c6,pat,bo,a,M,s2,54,2,FALSE
c6,pat,bo,b,M,s2,9,2,FALSE
c6,pat,st,a,M,s1,20,3,TRUE
c6,pat,st,b,M,s1,9,3,TRUE
c6,alt,gr,a,M,s2,30,4,TRUE
c6,alt,gr,b,U,s2,12,4,TRUE
c7,alt,co,a,M,s1,46,1,FALSE
c7,alt,co,b,U,s1,5,1,FALSE
c7,alt,co,c,M,s1,3,1,FALSE
c7,pat,bo,a,M,s2,37,2,FALSE
c7,pat,bo,b,M,s2,9,2,FALSE
c7,pat,st,a,M,s1,23,3,TRUE
c7,pat,st,b,M,s1,14,3,TRUE
c7,alt,gr,a,M,s2,26,4,TRUE
c7,alt,gr,b,U,s2,22,4,TRUE
c8,alt,co,a,M,s1,47,1,FALSE
c8,alt,co,b,U,s1,2,1,FALSE
c8,alt,co,c,M,s1,3,1,FALSE
c8,pat,bo,a,M,s2,58,2,FALSE
c8,pat,bo,b,M,s2,13,2,FALSE
c8,pat,st,a,M,s1,18,3,TRUE
c8,pat,st,b,M,s1,11,3,TRUE
c8,alt,gr,a,M,s2,33,4,TRUE
c8,alt,gr,b,U,s2,25,4,TRUE
b1,pat,gr,a,M,s1,32,1,FALSE
b1,pat,gr,b,U,s1,10,1,FALSE
b1,alt,st,a,M,s2,11,2,FALSE
b1,alt,st,b,M,s2,7,2,FALSE
b1,alt,bo,a,M,s1,14,3,TRUE
b1,alt,bo,b,M,s1,9,3,TRUE
b1,pat,co,a,M,s2,16,4,TRUE
b1,pat,co,b,U,s2,5,4,TRUE
b1,pat,co,c,M,s2,4,4,TRUE
b2,pat,gr,a,M,s1,29,1,FALSE
b2,pat,gr,b,U,s1,15,1,FALSE
b2,alt,st,a,M,s2,13,2,FALSE
b2,alt,st,b,M,s2,23,2,FALSE
b2,alt,bo,a,M,s1,15,3,TRUE
b2,alt,bo,b,M,s1,10,3,TRUE
b2,pat,co,a,M,s2,23,4,TRUE
b2,pat,co,b,U,s2,3,4,TRUE
b2,pat,co,c,M,s2,4,4,TRUE
b3,pat,gr,a,M,s1,44,1,FALSE
b3,pat,gr,b,U,s1,9,1,FALSE
b3,alt,st,a,M,s2,14,2,FALSE
b3,alt,st,b,M,s2,12,2,FALSE
b3,alt,bo,a,M,s1,35,3,TRUE
b3,alt,bo,b,M,s1,6,3,TRUE
b3,pat,co,a,M,s2,21,4,TRUE
b3,pat,co,b,U,s2,5,4,TRUE
b3,pat,co,c,M,s2,3,4,TRUE
b4,pat,gr,a,M,s1,23,1,FALSE
b4,pat,gr,b,U,s1,7,1,FALSE
b4,alt,st,a,M,s2,9,2,FALSE
b4,alt,st,b,M,s2,16,2,FALSE
b4,alt,bo,a,M,s1,10,3,TRUE
b4,alt,bo,b,M,s1,11,3,TRUE
b4,pat,co,a,M,s2,28,4,TRUE
b4,pat,co,b,U,s2,7,4,TRUE
b4,pat,co,c,M,s2,4,4,TRUE
b5,pat,gr,a,M,s1,38,1,FALSE
b5,pat,gr,b,U,s1,21,1,FALSE
b5,alt,st,a,M,s2,19,2,FALSE
b5,alt,st,b,M,s2,33,2,FALSE
b5,alt,bo,a,M,s1,48,3,TRUE
b5,alt,bo,b,M,s1,6,3,TRUE
b5,pat,co,a,M,s2,19,4,TRUE
b5,pat,co,b,U,s2,4,4,TRUE
b5,pat,co,c,M,s2,10,4,TRUE
b6,pat,gr,a,M,s1,62,1,FALSE
b6,pat,gr,b,U,s1,21,1,FALSE
b6,alt,st,a,M,s2,12,2,FALSE
b6,alt,st,b,M,s2,33,2,FALSE
b6,alt,bo,a,M,s1,16,3,TRUE
b6,alt,bo,b,M,s1,12,3,TRUE
b6,pat,co,a,M,s2,38,4,TRUE
b6,pat,co,b,U,s2,7,4,TRUE
b6,pat,co,c,M,s2,23,4,TRUE
b7,pat,gr,a,M,s1,30,1,FALSE
b7,pat,gr,b,U,s1,13,1,FALSE
b7,alt,st,a,M,s2,19,2,FALSE
b7,alt,st,b,M,s2,12,2,FALSE
b7,alt,bo,a,M,s1,33,3,TRUE
b7,alt,bo,b,M,s1,10,3,TRUE
b7,pat,co,a,M,s2,37,4,TRUE
b7,pat,co,b,U,s2,4,4,TRUE
b7,pat,co,c,M,s2,4,4,TRUE
b8,pat,gr,a,M,s1,17,1,FALSE
b8,pat,gr,b,U,s1,27,1,FALSE
b8,alt,st,a,M,s2,13,2,FALSE
b8,alt,st,b,M,s2,28,2,FALSE
b8,alt,bo,a,M,s1,34,3,TRUE
b8,alt,bo,b,M,s1,20,3,TRUE
b8,pat,co,a,M,s2,18,4,TRUE
b8,pat,co,b,U,s2,10,4,TRUE
b8,pat,co,c,M,s2,6,4,TRUE
a1,pat,st,a,M,s1,41,1,FALSE
a1,pat,st,b,M,s1,11,1,FALSE
a1,alt,gr,a,M,s2,28,2,FALSE
a1,alt,gr,b,U,s2,14,2,FALSE
a1,alt,co,a,M,s1,27,3,TRUE
a1,alt,co,b,U,s1,4,3,TRUE
a1,alt,co,c,M,s1,2,3,TRUE
a1,pat,bo,a,M,s2,17,4,TRUE
a1,pat,bo,b,M,s2,13,4,TRUE
a2,pat,st,a,M,s1,28,1,FALSE
a2,pat,st,b,M,s1,11,1,FALSE
a2,alt,gr,a,M,s2,10,2,FALSE
a2,alt,gr,b,U,s2,17,2,FALSE
a2,alt,co,a,M,s1,19,3,TRUE
a2,alt,co,b,U,s1,7,3,TRUE
a2,alt,co,c,M,s1,5,3,TRUE
a2,pat,bo,a,M,s2,31,4,TRUE
a2,pat,bo,b,M,s2,9,4,TRUE
a3,pat,st,a,M,s1,33,1,FALSE
a3,pat,st,b,M,s1,30,1,FALSE
a3,alt,gr,a,M,s2,42,2,FALSE
a3,alt,gr,b,U,s2,11,2,FALSE
a3,alt,co,a,M,s1,41,3,TRUE
a3,alt,co,b,U,s1,9,3,TRUE
a3,alt,co,c,M,s1,3,3,TRUE
a3,pat,bo,a,M,s2,39,4,TRUE
a3,pat,bo,b,M,s2,3,4,TRUE
a4,pat,st,a,M,s1,43,1,FALSE
a4,pat,st,b,M,s1,36,1,FALSE
a4,alt,gr,a,M,s2,16,2,FALSE
a4,alt,gr,b,U,s2,11,2,FALSE
a4,alt,co,a,M,s1,31,3,TRUE
a4,alt,co,b,U,s1,8,3,TRUE
a4,alt,co,c,M,s1,3,3,TRUE
a4,pat,bo,a,M,s2,62,4,TRUE
a4,pat,bo,b,M,s2,5,4,TRUE
a5,pat,st,a,M,s1,22,1,FALSE
a5,pat,st,b,M,s1,10,1,FALSE
a5,alt,gr,a,M,s2,39,2,FALSE
a5,alt,gr,b,U,s2,19,2,FALSE
a5,alt,co,a,M,s1,46,3,TRUE
a5,alt,co,b,U,s1,5,3,TRUE
a5,alt,co,c,M,s1,1,3,TRUE
a5,pat,bo,a,M,s2,42,4,TRUE
a5,pat,bo,b,M,s2,11,4,TRUE
a6,pat,st,a,M,s1,41,1,FALSE
a6,pat,st,b,M,s1,18,1,FALSE
a6,alt,gr,a,M,s2,37,2,FALSE
a6,alt,gr,b,U,s2,42,2,FALSE
a6,alt,co,a,M,s1,57,3,TRUE
a6,alt,co,b,U,s1,4,3,TRUE
a6,alt,co,c,M,s1,3,3,TRUE
a6,pat,bo,a,M,s2,49,4,TRUE
a6,pat,bo,b,M,s2,6,4,TRUE
a7,pat,st,a,M,s1,42,1,FALSE
a7,pat,st,b,M,s1,6,1,FALSE
a7,alt,gr,a,M,s2,35,2,FALSE
a7,alt,gr,b,U,s2,21,2,FALSE
a7,alt,co,a,M,s1,51,3,TRUE
a7,alt,co,b,U,s1,4,3,TRUE
a7,alt,co,c,M,s1,2,3,TRUE
a7,pat,bo,a,M,s2,25,4,TRUE
a7,pat,bo,b,M,s2,14,4,TRUE
