name,frequency,threads,energy
app4,1200,1,28493.799
app4,1200,2,16803.723
app4,1200,4,9052.466
app4,1200,8,5797.05
app4,1200,16,11763.059
app4,1200,32,11043.351
app4,1300,1,25417.983
app4,1300,2,14973.579
app4,1300,4,8439.199
app4,1300,8,7079.973
app4,1300,16,9674.46
app4,1300,32,8893.802
app4,1400,1,25851.813
app4,1400,2,15492.164
app4,1400,4,8501.037
app4,1400,8,5961.532
app4,1400,16,11261.545
app4,1400,32,10891.045
app4,1600,1,21534.132
app4,1600,2,14112.903
app4,1600,4,7043.753
app4,1600,8,5091.532
app4,1600,16,6923.721
app4,1600,32,10770.666
app4,1700,1,22313.427
app4,1700,2,13670.226
app4,1700,4,7590.08
app4,1700,8,5914.682
app4,1700,16,6404.037
app4,1700,32,7901.533
app4,1800,1,19465.186
app4,1800,2,11767.643
app4,1800,4,6538.175
app4,1800,8,4428.357
app4,1800,16,5650.257
app4,1800,32,7564.977
app4,1900,1,20553.963
app4,1900,2,12679.444
app4,1900,4,7174.125
app4,1900,8,4411.757
app4,1900,16,6187.208
app4,1900,32,7172.939
app4,2000,1,18834.783
app4,2000,2,11462.41
app4,2000,4,6402.031
app4,2000,8,4019.837
app4,2000,16,6993.14
app4,2000,32,7929.861
app4,2200,1,16927.484
app4,2200,2,10283.001
app4,2200,4,5863.698
app4,2200,8,3932.655
app4,2200,16,5716.128
app4,2200,32,9401.903
app4,2300,1,18126.478
app4,2300,2,11301.934
app4,2300,4,6530.051
app4,2300,8,4210.681
app4,2300,16,6191.966
app4,2300,32,8961.839
app4,2400,1,16373.259
app4,2400,2,10269.482
app4,2400,4,5909.063
app4,2400,8,5084.96
app4,2400,16,7768.292
app4,2400,32,6630.414
app4,2500,1,17228.167
app4,2500,2,10861.689
app4,2500,4,6373.585
app4,2500,8,5129.554
app4,2500,16,10418.686
app4,2500,32,9709.012
app4,2700,1,16267.163
app4,2700,2,10263.207
app4,2700,4,6067.211
app4,2700,8,4890.193
app4,2700,16,5276.151
app4,2700,32,6228.358
app4,2800,1,16189.804
app4,2800,2,10360.765
app4,2800,4,6200.149
app4,2800,8,4581.776
app4,2800,16,7611.836
app4,2800,32,9488.523
app4,2900,1,15954.585
app4,2900,2,9253.043
app4,2900,4,5486.53
app4,2900,8,4874.05
app4,2900,16,8524.889
app4,2900,32,7214.22
app4,2901,1,15516.111
app4,2901,2,10383.724
app4,2901,4,6911.394
app4,2901,8,7678.628
app4,2901,16,9834.549
app4,2901,32,9635.891
cr_audio1.flac,1200,1,19894.056
cr_audio1.flac,1200,2,7926.346
cr_audio1.flac,1200,4,4148.587
cr_audio1.flac,1200,8,2608.948
cr_audio1.flac,1200,16,2506.544
cr_audio1.flac,1200,32,2722.028
cr_audio1.flac,1300,1,17392.774
cr_audio1.flac,1300,2,7067.936
cr_audio1.flac,1300,4,3681.684
cr_audio1.flac,1300,8,2230.75
cr_audio1.flac,1300,16,2538.232
cr_audio1.flac,1300,32,2423.612
cr_audio1.flac,1400,1,18580.733
cr_audio1.flac,1400,2,6984.474
cr_audio1.flac,1400,4,3729.149
cr_audio1.flac,1400,8,2306.971
cr_audio1.flac,1400,16,2349.055
cr_audio1.flac,1400,32,2408.274
cr_audio1.flac,1600,1,14785.632
cr_audio1.flac,1600,2,6028.431
cr_audio1.flac,1600,4,3166.861
cr_audio1.flac,1600,8,1889.331
cr_audio1.flac,1600,16,1921.463
cr_audio1.flac,1600,32,1546.887
cr_audio1.flac,1700,1,16323.125
cr_audio1.flac,1700,2,6145.783
cr_audio1.flac,1700,4,3283.689
cr_audio1.flac,1700,8,2000.329
cr_audio1.flac,1700,16,1990.372
cr_audio1.flac,1700,32,1635.516
cr_audio1.flac,1800,1,13538.008
cr_audio1.flac,1800,2,5412.712
cr_audio1.flac,1800,4,2917.233
cr_audio1.flac,1800,8,1893.089
cr_audio1.flac,1800,16,1715.162
cr_audio1.flac,1800,32,1821.213
cr_audio1.flac,1900,1,15196.808
cr_audio1.flac,1900,2,5745.153
cr_audio1.flac,1900,4,3135.604
cr_audio1.flac,1900,8,1919.449
cr_audio1.flac,1900,16,1847.451
cr_audio1.flac,1900,32,1829.095
cr_audio1.flac,2000,1,13471.116
cr_audio1.flac,2000,2,5286.842
cr_audio1.flac,2000,4,2820.099
cr_audio1.flac,2000,8,1835.186
cr_audio1.flac,2000,16,1807.608
cr_audio1.flac,2000,32,1971.161
cr_audio1.flac,2200,1,11866.658
cr_audio1.flac,2200,2,4699.47
cr_audio1.flac,2200,4,2576.396
cr_audio1.flac,2200,8,1646.527
cr_audio1.flac,2200,16,2240.249
cr_audio1.flac,2200,32,1500.337
cr_audio1.flac,2300,1,13520.591
cr_audio1.flac,2300,2,5212.142
cr_audio1.flac,2300,4,2899.343
cr_audio1.flac,2300,8,1815.047
cr_audio1.flac,2300,16,2046.071
cr_audio1.flac,2300,32,1996.895
cr_audio1.flac,2400,1,11240.648
cr_audio1.flac,2400,2,4462.422
cr_audio1.flac,2400,4,2436.677
cr_audio1.flac,2400,8,1870.531
cr_audio1.flac,2400,16,2029.418
cr_audio1.flac,2400,32,1523.082
cr_audio1.flac,2500,1,13010.462
cr_audio1.flac,2500,2,5059.431
cr_audio1.flac,2500,4,2824.218
cr_audio1.flac,2500,8,1869.382
cr_audio1.flac,2500,16,2043.509
cr_audio1.flac,2500,32,2065.674
cr_audio1.flac,2700,1,12310.732
cr_audio1.flac,2700,2,4871.312
cr_audio1.flac,2700,4,2697.346
cr_audio1.flac,2700,8,1898.172
cr_audio1.flac,2700,16,1870.008
cr_audio1.flac,2700,32,1464.014
cr_audio1.flac,2800,1,12438.779
cr_audio1.flac,2800,2,4924.596
cr_audio1.flac,2800,4,2755.512
cr_audio1.flac,2800,8,1854.216
cr_audio1.flac,2800,16,1689.938
cr_audio1.flac,2800,32,1428.914
cr_audio1.flac,2900,1,10726.267
cr_audio1.flac,2900,2,4205.925
cr_audio1.flac,2900,4,2313.571
cr_audio1.flac,2900,8,1746.228
cr_audio1.flac,2900,16,2263.646
cr_audio1.flac,2900,32,1944.656
cr_audio1.flac,2901,1,12361.381
cr_audio1.flac,2901,2,5088.47
cr_audio1.flac,2901,4,2931.952
cr_audio1.flac,2901,8,2126.927
cr_audio1.flac,2901,16,2375.382
cr_audio1.flac,2901,32,2103.606
cr_audio1.wav,1200,1,2575.085
cr_audio1.wav,1200,2,1373.321
cr_audio1.wav,1200,4,751.175
cr_audio1.wav,1200,8,736.086
cr_audio1.wav,1200,16,1075.203
cr_audio1.wav,1200,32,997.805
cr_audio1.wav,1300,1,2280.472
cr_audio1.wav,1300,2,1216.963
cr_audio1.wav,1300,4,722.357
cr_audio1.wav,1300,8,639.403
cr_audio1.wav,1300,16,1002.985
cr_audio1.wav,1300,32,1068.002
cr_audio1.wav,1400,1,2154.586
cr_audio1.wav,1400,2,1166.242
cr_audio1.wav,1400,4,654.623
cr_audio1.wav,1400,8,508.192
cr_audio1.wav,1400,16,895.086
cr_audio1.wav,1400,32,822.708
cr_audio1.wav,1600,1,1917.832
cr_audio1.wav,1600,2,1038.342
cr_audio1.wav,1600,4,585.153
cr_audio1.wav,1600,8,418.746
cr_audio1.wav,1600,16,877.696
cr_audio1.wav,1600,32,909.164
cr_audio1.wav,1700,1,1827.337
cr_audio1.wav,1700,2,1006.195
cr_audio1.wav,1700,4,569.806
cr_audio1.wav,1700,8,412.399
cr_audio1.wav,1700,16,779.076
cr_audio1.wav,1700,32,879.131
cr_audio1.wav,1800,1,1729.32
cr_audio1.wav,1800,2,952.172
cr_audio1.wav,1800,4,540.596
cr_audio1.wav,1800,8,365.894
cr_audio1.wav,1800,16,852.472
cr_audio1.wav,1800,32,853.677
cr_audio1.wav,1900,1,1667.833
cr_audio1.wav,1900,2,921.428
cr_audio1.wav,1900,4,535.943
cr_audio1.wav,1900,8,363.982
cr_audio1.wav,1900,16,705.714
cr_audio1.wav,1900,32,732.744
cr_audio1.wav,2000,1,1691.558
cr_audio1.wav,2000,2,916.084
cr_audio1.wav,2000,4,533.924
cr_audio1.wav,2000,8,384.577
cr_audio1.wav,2000,16,766.694
cr_audio1.wav,2000,32,577.989
cr_audio1.wav,2200,1,1493.13
cr_audio1.wav,2200,2,816.059
cr_audio1.wav,2200,4,474.731
cr_audio1.wav,2200,8,455.257
cr_audio1.wav,2200,16,757.287
cr_audio1.wav,2200,32,756.024
cr_audio1.wav,2300,1,1452.371
cr_audio1.wav,2300,2,813.505
cr_audio1.wav,2300,4,479.83
cr_audio1.wav,2300,8,450.102
cr_audio1.wav,2300,16,582.455
cr_audio1.wav,2300,32,806.623
cr_audio1.wav,2400,1,1392.198
cr_audio1.wav,2400,2,777.24
cr_audio1.wav,2400,4,461.384
cr_audio1.wav,2400,8,502.604
cr_audio1.wav,2400,16,775.552
cr_audio1.wav,2400,32,825.995
cr_audio1.wav,2500,1,1370.763
cr_audio1.wav,2500,2,771.764
cr_audio1.wav,2500,4,465.816
cr_audio1.wav,2500,8,503.148
cr_audio1.wav,2500,16,651.054
cr_audio1.wav,2500,32,664.732
cr_audio1.wav,2700,1,1292.809
cr_audio1.wav,2700,2,724.028
cr_audio1.wav,2700,4,432.911
cr_audio1.wav,2700,8,495.635
cr_audio1.wav,2700,16,668.052
cr_audio1.wav,2700,32,727.997
cr_audio1.wav,2800,1,1268.273
cr_audio1.wav,2800,2,721.95
cr_audio1.wav,2800,4,435.6
cr_audio1.wav,2800,8,500.248
cr_audio1.wav,2800,16,579.821
cr_audio1.wav,2800,32,765.963
cr_audio1.wav,2900,1,1286.249
cr_audio1.wav,2900,2,723.02
cr_audio1.wav,2900,4,442.429
cr_audio1.wav,2900,8,544.184
cr_audio1.wav,2900,16,647.445
cr_audio1.wav,2900,32,635.473
cr_audio1.wav,2901,1,1180.522
cr_audio1.wav,2901,2,711.813
cr_audio1.wav,2901,4,494.652
cr_audio1.wav,2901,8,655.184
cr_audio1.wav,2901,16,823.967
cr_audio1.wav,2901,32,838.766
enwik8,1200,1,2087.63
enwik8,1200,2,1131.95
enwik8,1200,4,641.937
enwik8,1200,8,419.455
enwik8,1200,16,1002.045
enwik8,1200,32,844.772
enwik8,1300,1,1851.791
enwik8,1300,2,1011.731
enwik8,1300,4,594.741
enwik8,1300,8,527.599
enwik8,1300,16,873.292
enwik8,1300,32,4185.363
enwik8,1400,1,1808.149
enwik8,1400,2,988.5
enwik8,1400,4,586.067
enwik8,1400,8,454.913
enwik8,1400,16,736.695
enwik8,1400,32,4047.223
enwik8,1600,1,1558.528
enwik8,1600,2,866.323
enwik8,1600,4,502.462
enwik8,1600,8,407.048
enwik8,1600,16,699.299
enwik8,1600,32,3600.143
enwik8,1700,1,1582.015
enwik8,1700,2,881.347
enwik8,1700,4,516.491
enwik8,1700,8,384.809
enwik8,1700,16,772.197
enwik8,1700,32,3712.415
enwik8,1800,1,1418.494
enwik8,1800,2,791.287
enwik8,1800,4,464.492
enwik8,1800,8,369.926
enwik8,1800,16,586.972
enwik8,1800,32,3120.534
enwik8,1900,1,1459.847
enwik8,1900,2,821.88
enwik8,1900,4,487.207
enwik8,1900,8,403.214
enwik8,1900,16,536.902
enwik8,1900,32,3410.462
enwik8,2000,1,1382.861
enwik8,2000,2,770.301
enwik8,2000,4,450.445
enwik8,2000,8,343.874
enwik8,2000,16,523.035
enwik8,2000,32,668.291
enwik8,2200,1,1229.018
enwik8,2200,2,689.262
enwik8,2200,4,413.677
enwik8,2200,8,328.665
enwik8,2200,16,670.302
enwik8,2200,32,2819.41
enwik8,2300,1,1296.476
enwik8,2300,2,729.997
enwik8,2300,4,445.947
enwik8,2300,8,357.098
enwik8,2300,16,550.63
enwik8,2300,32,2983.455
enwik8,2400,1,1153.572
enwik8,2400,2,652.771
enwik8,2400,4,398.957
enwik8,2400,8,413.706
enwik8,2400,16,672.208
enwik8,2400,32,2792.967
enwik8,2500,1,1233.506
enwik8,2500,2,702.698
enwik8,2500,4,434.5
enwik8,2500,8,406.253
enwik8,2500,16,658.914
enwik8,2500,32,2975.53
enwik8,2700,1,1076.578
enwik8,2700,2,620.298
enwik8,2700,4,382.229
enwik8,2700,8,353.868
enwik8,2700,16,539.837
enwik8,2700,32,2835.779
enwik8,2800,1,1159.183
enwik8,2800,2,667.232
enwik8,2800,4,424.293
enwik8,2800,8,443.08
enwik8,2800,16,653.273
enwik8,2800,32,2991.707
enwik8,2900,1,1076.5
enwik8,2900,2,617.001
enwik8,2900,4,382.766
enwik8,2900,8,317.156
enwik8,2900,16,669.063
enwik8,2900,32,575.958
enwik8,2901,1,1034.605
enwik8,2901,2,620.6
enwik8,2901,4,411.807
enwik8,2901,8,539.481
enwik8,2901,16,797.137
enwik8,2901,32,3038.053
enwik9,1200,1,36310.811
enwik9,1200,2,17865.75
enwik9,1200,4,9136.194
enwik9,1200,8,4031.278
enwik9,1200,16,5892.037
enwik9,1200,32,7013.705
enwik9,1300,1,32961.757
enwik9,1300,2,16191.655
enwik9,1300,4,8371.29
enwik9,1300,8,4544.62
enwik9,1300,16,6361.22
enwik9,1300,32,11840.765
enwik9,1400,1,33139.465
enwik9,1400,2,16238.635
enwik9,1400,4,8348.225
enwik9,1400,8,4353.212
enwik9,1400,16,5426.947
enwik9,1400,32,12389.309
enwik9,1600,1,27219.892
enwik9,1600,2,13571.274
enwik9,1600,4,6996.87
enwik9,1600,8,3293.696
enwik9,1600,16,4037.258
enwik9,1600,32,8334.311
enwik9,1700,1,28950.699
enwik9,1700,2,14357.8
enwik9,1700,4,7443.77
enwik9,1700,8,3701.876
enwik9,1700,16,4331.906
enwik9,1700,32,9498.68
enwik9,1800,1,24859.216
enwik9,1800,2,12517.111
enwik9,1800,4,6487.996
enwik9,1800,8,3025.759
enwik9,1800,16,4121.497
enwik9,1800,32,8859.372
enwik9,1900,1,27046.584
enwik9,1900,2,13466.909
enwik9,1900,4,7086.758
enwik9,1900,8,3396.721
enwik9,1900,16,4498.906
enwik9,1900,32,8835.194
enwik9,2000,1,25339.996
enwik9,2000,2,12553.85
enwik9,2000,4,6630.012
enwik9,2000,8,3334.409
enwik9,2000,16,4825.794
enwik9,2000,32,4784.698
enwik9,2200,1,21737.474
enwik9,2200,2,10941.296
enwik9,2200,4,5810.176
enwik9,2200,8,3298.012
enwik9,2200,16,4235.268
enwik9,2200,32,8269.179
enwik9,2300,1,24311.974
enwik9,2300,2,12116.885
enwik9,2300,4,6537.292
enwik9,2300,8,3559.248
enwik9,2300,16,4384.311
enwik9,2300,32,7808.857
enwik9,2400,1,21817.8
enwik9,2400,2,10934.694
enwik9,2400,4,5812.688
enwik9,2400,8,3349.253
enwik9,2400,16,3936.032
enwik9,2400,32,8798.379
enwik9,2500,1,23416.427
enwik9,2500,2,11716.516
enwik9,2500,4,6424.976
enwik9,2500,8,3576.635
enwik9,2500,16,5202.526
enwik9,2500,32,7426.902
enwik9,2700,1,22178.928
enwik9,2700,2,11162.438
enwik9,2700,4,6321.139
enwik9,2700,8,3557.721
enwik9,2700,16,4120.208
enwik9,2700,32,8465.088
enwik9,2800,1,22278.471
enwik9,2800,2,11261.07
enwik9,2800,4,6323.202
enwik9,2800,8,3941.751
enwik9,2800,16,3782.079
enwik9,2800,32,8105.873
enwik9,2900,1,19476.018
enwik9,2900,2,9918.138
enwik9,2900,4,5563.363
enwik9,2900,8,3567.023
enwik9,2900,16,3964.969
enwik9,2900,32,4064.615
enwik9,2901,1,21991.381
enwik9,2901,2,11426.894
enwik9,2901,4,6735.34
enwik9,2901,8,5280.936
enwik9,2901,16,5512.43
enwik9,2901,32,9442.636
game1,1200,1,66636.753
game1,1200,2,36754.595
game1,1200,4,21403.899
game1,1200,8,13074.828
game1,1200,16,26228.892
game1,1200,32,28377.852
game1,1300,1,61753.898
game1,1300,2,34250.359
game1,1300,4,21141.568
game1,1300,8,17435.076
game1,1300,16,21852.288
game1,1300,32,24102.489
game1,1400,1,62352.962
game1,1400,2,34376.291
game1,1400,4,20679.843
game1,1400,8,13922.048
game1,1400,16,18200.24
game1,1400,32,17976.221
game1,1600,1,50224.266
game1,1600,2,28207.234
game1,1600,4,16673.482
game1,1600,8,10924.76
game1,1600,16,19625.263
game1,1600,32,23393.648
game1,1700,1,54228.257
game1,1700,2,30360.4
game1,1700,4,17966.133
game1,1700,8,12557.055
game1,1700,16,16640.26
game1,1700,32,19528.222
game1,1800,1,45852.588
game1,1800,2,25944.314
game1,1800,4,15489.968
game1,1800,8,10032.703
game1,1800,16,12818.307
game1,1800,32,17904.896
game1,1900,1,50429.894
game1,1900,2,28340.916
game1,1900,4,16986.996
game1,1900,8,11140.626
game1,1900,16,13268.451
game1,1900,32,14501.85
game1,2000,1,46979.266
game1,2000,2,25993.051
game1,2000,4,15790.665
game1,2000,8,10970.902
game1,2000,16,21833.246
game1,2000,32,11096.886
game1,2200,1,40000.288
game1,2200,2,22657.289
game1,2200,4,13885.094
game1,2200,8,13393.493
game1,2200,16,11934.413
game1,2200,32,15413.572
game1,2300,1,44738.52
game1,2300,2,25324.554
game1,2300,4,15492.319
game1,2300,8,10064.784
game1,2300,16,9461.328
game1,2300,32,18990.718
game1,2400,1,41979.13
game1,2400,2,23752.917
game1,2400,4,14718.881
game1,2400,8,10194.184
game1,2400,16,18885.435
game1,2400,32,15097.694
game1,2500,1,42820.797
game1,2500,2,24342.26
game1,2500,4,15134.254
game1,2500,8,13112.264
game1,2500,16,23012.613
game1,2500,32,18410.022
game1,2700,1,41229.778
game1,2700,2,23561.742
game1,2700,4,14737.767
game1,2700,8,13583.128
game1,2700,16,15519.288
game1,2700,32,17095.506
game1,2800,1,40539.421
game1,2800,2,23268.763
game1,2800,4,14743.288
game1,2800,8,12750.448
game1,2800,16,13800.313
game1,2800,32,16221.201
game1,2900,1,35420.099
game1,2900,2,20430.634
game1,2900,4,13050.345
game1,2900,8,12034.956
game1,2900,16,18743.403
game1,2900,32,16678.292
game1,2901,1,39728.255
game1,2901,2,23426.231
game1,2901,4,15596.794
game1,2901,8,17483.423
game1,2901,16,18067.011
game1,2901,32,21659.166
